timestamp,record_id_a,record_id_b,model_score,model_decision,reviewer_decision,final_decision,notes,lower_threshold,upper_threshold,given_name_sim,surname_sim,date_of_birth_exact,address_sim,suburb_sim,state_exact,postcode_exact,sex_exact
,rec-2020-org,rec-2020-dup-0,0.7985485409448856,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.47222222222222215,0.9333333333333333,1,0.8787878787878789,1.0,1,0,
,rec-3506-org,rec-3506-dup-0,0.7983045332119305,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5277777777777778,0.5277777777777778,1,0.9657471264367816,0.95,1,1,
,rec-1003-org,rec-1003-dup-0,0.7980455052868409,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5119047619047619,0.5119047619047619,1,0.9925925925925926,0.9636363636363636,1,1,
,rec-2525-org,rec-2525-dup-0,0.7978012608714903,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.8333333333333334,1.0,1,0.9333333333333333,0.0,1,0,
,rec-3924-org,rec-3924-dup-0,0.7976604517438926,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.48333333333333334,0.5185185185185185,1,1.0,0.9833333333333333,1,1,
,rec-475-org,rec-475-dup-0,0.7974311533149573,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.0,0.6481481481481481,1,0.8561476837338907,0.96,1,1,
,rec-1348-org,rec-1348-dup-0,0.7968838435567582,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5,0.5,1,0.992,1.0,1,1,
,rec-425-org,rec-425-dup-0,0.7967164250103923,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5119047619047619,0.5119047619047619,1,1.0,0.9277777777777778,1,1,
,rec-3394-org,rec-3394-dup-0,0.7963058779812884,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.6666666666666666,0.6666666666666666,1,1.0,1.0,1,0,
,rec-808-org,rec-808-dup-0,0.7962899556110876,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5,0.5,1,0.9872983870967742,1.0,1,1,
,rec-1070-org,rec-1070-dup-0,0.7961354815835374,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.95,0.42857142857142855,1,0.9532467532467533,0.9692307692307692,0,1,
,rec-3571-org,rec-3571-dup-0,0.7956387307748033,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.4920634920634921,0.4920634920634921,1,1.0,1.0,1,1,
,rec-951-org,rec-951-dup-0,0.795501462364062,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,1.0,0.6203703703703703,1,0.8480341880341881,0.98,1,0,
,rec-871-org,rec-871-dup-0,0.7950748210003673,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.4900793650793651,0.4900793650793651,1,1.0,1.0,1,1,
,rec-1464-org,rec-1464-dup-0,0.7950372270154049,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.44761904761904764,0.5238095238095238,1,1.0,1.0,1,1,
,rec-4654-org,rec-4654-dup-0,0.7950121643587631,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5119047619047619,0.47222222222222215,1,1.0,1.0,1,1,
,rec-1604-org,rec-1604-dup-0,0.7948241944339511,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5277777777777778,0.4583333333333333,1,1.0,1.0,1,1,
,rec-355-org,rec-355-dup-0,0.7948237901975537,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.4920634920634921,0.4920634920634921,1,0.9935483870967742,1.0,1,1,
,rec-946-org,rec-946-dup-0,0.7947364751357056,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.48888888888888893,0.48888888888888893,1,1.0,1.0,1,1,
,rec-1381-org,rec-1381-dup-0,0.794546526580106,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5396825396825397,0.5396825396825397,1,0.8842105263157894,1.0,1,1,
,rec-637-org,rec-637-dup-0,0.7940932002819043,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.48148148148148145,0.49074074074074076,1,1.0,1.0,1,1,
,rec-4732-org,rec-4732-dup-0,0.7939709248964713,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.45555555555555555,0.5555555555555555,1,0.943939393939394,1.0,1,1,
,rec-528-org,rec-528-dup-0,0.7937110082426664,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5,0.5,1,0.9668817204301076,1.0,1,1,
,rec-3068-org,rec-3068-dup-0,0.792902858836894,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5111111111111111,0.5111111111111111,1,0.9354838709677419,1.0,1,1,
,rec-248-org,rec-248-dup-0,0.7927679491696276,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5138888888888888,0.5119047619047619,1,0.9306459948320414,1.0,1,1,
,rec-4246-org,rec-4246-dup-0,0.792467927538157,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.7300000000000001,1.0,1,0.9944444444444445,0.0,1,0,
,rec-4270-org,rec-4270-dup-0,0.7920128422321067,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5396825396825397,0.5396825396825397,1,0.8641521918941275,1.0,1,1,
,rec-4070-org,rec-4070-dup-0,0.7914988355822765,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5277777777777778,0.5277777777777778,1,0.8868686868686868,1.0,1,1,
,rec-2744-org,rec-2744-dup-0,0.7911274525793146,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.4761904761904761,0.4761904761904761,1,1.0,1.0,1,1,
,rec-4118-org,rec-4118-dup-0,0.7908668009502419,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5238095238095238,0.4444444444444444,1,1.0,0.98,1,1,
,rec-981-org,rec-981-dup-0,0.7907481422344871,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.4900793650793651,0.4900793650793651,1,0.9657471264367816,1.0,1,1,
,rec-1107-org,rec-1107-dup-0,0.7906111618524975,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5119047619047619,0.5119047619047619,1,0.9155555555555555,1.0,1,1,
,rec-113-org,rec-113-dup-0,0.7903681981213306,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.4761904761904761,0.5370370370370371,1,0.9179310344827587,1.0,1,1,
,rec-2057-org,rec-2057-dup-0,0.7901308168458367,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5,0.5,1,0.9385385385385385,1.0,1,1,
,rec-405-org,rec-405-dup-0,0.7899996330304424,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.47222222222222215,0.47222222222222215,1,1.0,1.0,1,1,
,rec-2282-org,rec-2282-dup-0,0.7899996330304424,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.47222222222222215,0.47222222222222215,1,1.0,1.0,1,1,
,rec-3420-org,rec-3420-dup-0,0.7899996330304424,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.47222222222222215,0.47222222222222215,1,1.0,1.0,1,1,
,rec-1995-org,rec-1995-dup-0,0.789763465689012,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.5777777777777778,0.44166666666666665,1,0.9307692307692308,1.0,1,1,
,rec-2195-org,rec-2195-dup-0,0.7895389606880554,Needs Human Review,Confirm Match,Match,Simulated using FEBRL true links,0.5,0.8,0.6428571428571429,0.6428571428571429,1,1.0,1.0,1,0,
